MSE: 9368.73062133789
RMSE: 167.51161625495473
PSNR: 39.59830217082443
SSIM: (0.6069240947104171, 0.6666138939339529)
UQI: 2.4004133838431225
MSSSIM: (0.7596812808915663+0j)
ERGAS: 75559.72000351742
SCC: 0.011341033837891066
RASE: 10920.664923750885
SAM: 1.2396543158343043
VIF: 0.09974056266473486
PD: 65.76823806762695
