MSE: 19453.12626037598
RMSE: 311.0980851347056
PSNR: 61.3719283280239
SSIM: (0.7694750204853906, 0.894272444614688)
UQI: 3.5920175816448694
MSSSIM: (1.3027033201234552+0j)
ERGAS: 210707.73060780994
SCC: -0.011724680547362464
RASE: 30330.697866434966
SAM: 2.3419345602239376
VIF: 0.15927633959408627
PD: 129.56074905395508
